Country,Zipcode,Amount,Lat,Long
US,4631,9502031,44.91,-67.01
US,4667,11447371,44.97,-67.07
US,4652,12482138,44.79,-67.11
US,4666,12485070,44.95,-67.16
US,4671,12665440,45.06,-67.16
US,4691,11756238,44.79,-67.17
US,4619,12318975,45.13,-67.2
US,4626,10457922,44.69,-67.21
US,4628,12016287,44.9,-67.22
US,4657,10738152,45.03,-67.35
US,4655,9436156,44.69,-67.39
US,4630,10351812,44.73,-67.39
US,4491,9803198,45.56,-67.43
US,4606,10151604,45.08,-67.46
US,4694,10612181,45.09,-67.46
US,4654,10843625,44.7,-67.47
US,4454,8975582,45.54,-67.52
US,4648,10105497,44.66,-67.57
US,4668,12418832,45.22,-67.57
US,4611,12528616,44.48,-67.58
US,4649,11024857,44.53,-67.59
US,4686,10005231,44.95,-67.66
US,4492,11948703,45.32,-67.69
US,4623,10255477,44.65,-67.72
US,4490,10592579,45.41,-67.73
US,4413,9338466,45.52,-67.76
US,4637,10964945,45.17,-67.77
US,4643,9317445,44.61,-67.81
US,4750,11128136,46.91,-67.83
US,4742,12307105,46.76,-67.83
US,4730,10225420,46.11,-67.83
US,4751,10996750,46.91,-67.83
US,4735,12174408,46.42,-67.84
US,4760,10220604,46.3,-67.84
US,4471,9314847,45.81,-67.84
US,4424,10948957,45.66,-67.86
US,4734,11571942,46.5,-67.86
US,4758,9346995,46.51,-67.86
US,4658,10412979,44.52,-67.88
US,4740,12477737,46.64,-67.91
US,4622,9027798,44.6,-67.92
US,4787,12028277,46.57,-67.92
US,4785,11179510,47.16,-67.95
US,4761,9844974,46.1,-67.96
US,4680,9531783,44.51,-67.96
US,4769,9812341,46.68,-67.98
US,4736,11947543,46.86,-67.99
US,4624,10542761,44.41,-67.99
US,4607,11012962,44.47,-68.03
US,4669,9265297,44.42,-68.03
US,4613,9624405,44.38,-68.04
US,4497,11854648,45.64,-68.07
US,4693,11561649,44.39,-68.08
US,4738,9100041,46.76,-68.08
US,4762,10173702,46.94,-68.12
US,4487,9454844,45.39,-68.13
US,4783,12499843,47.04,-68.14
US,4763,9505691,46.09,-68.15
US,4664,8707138,44.53,-68.15
US,4786,9020335,46.79,-68.15
US,4746,12083927,47.3,-68.15
US,4780,10233729,46.12,-68.16
US,4757,9045650,46.68,-68.16
US,4677,11745444,44.49,-68.18
US,4766,9957560,46.84,-68.19
US,4451,11206321,45.54,-68.2
US,4609,12490314,44.38,-68.21
US,4773,9734115,47.31,-68.22
US,4634,10023780,44.58,-68.23
US,4675,8780878,44.29,-68.24
US,4640,8868143,44.52,-68.25
US,4625,10889471,44.24,-68.26
US,4747,12047327,46,-68.27
